"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","316","Intermediate Financial Actg II","2656","Accounting","10","22","30","18","2","0","0","0","0","0","0","0","0","0","0","2","Pandit, Shailendra","84"
"ACTG","506","Management Accounting","2656","Accounting","17","33","4","2","0","0","0","0","0","0","0","0","0","0","0","1","Das, Somnath","57"
"AD","110","Graphic Design I","2702","School of Art and Design","9","17","8","0","0","0","0","0","0","0","0","0","0","0","0","4","Gibbs, Allyson Darcy","38"
"AD","160","Photography I","2702","School of Art and Design","11","5","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Geissler, Beate","19"
"AD","203","Topics in Drawing","2702","School of Art and Design","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Grossi, Adam Joseph","12"
"AD","210","Graphic Design II","2702","School of Art and Design","24","13","8","0","0","0","0","0","0","0","1","0","0","0","0","0","Bracamontes-Roeger, Linda","46"
"AD","332","Topics in Painting","2702","School of Art and Design","15","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Fischer, Andreas W","19"
"AD","362","Documentary Media","2702","School of Art and Design","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Stratman, Deborah Renee","21"
"AH","100","Intro to Art &Art History","2910","Art History","23","28","5","2","3","0","0","0","0","0","0","0","0","0","0","8","Grad Asst","69"
"AH","232","Film History I: 1890-WWII","2492","English","5","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Rubin, Martin L.","13"
"AH","273","Pre-Columb Art/South Amer","2910","Art History","6","8","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Miller, Virginia E","18"
"AH","560","Sem in Modern Arch,Art &Design","2910","Art History","14","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Higgins, Hannah B","19"
"ANTH","227","Anc Civ Mex and Cent Amer","2841","Anthropology","11","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Buechler, Jeffrey Alex","19"
"ANTH","234","Modern Human Variation","2841","Anthropology","24","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Prost, Jack H","26"
"ANTH","277","Ethnog of Meso-America","2841","Anthropology","15","8","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Palka, Joel W","26"
"ARCH","359","Architectural Technology 1","2911","School of Architecture","11","20","8","3","0","0","0","0","0","0","0","0","0","0","0","1","Wheeler, Daniel H","43"
"ARCH","365","Architectural Studio 5","2911","School of Architecture","11","20","12","2","0","0","0","0","2","0","0","0","0","0","0","0","Moddrell, Andrew","47"
