"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"HON","120","Hon Core Indiv & Soc / Past","2310","Honors College","14","8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Keen, Ralph","23"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","14","5","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Adiutori, Vincent","22"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Geissler, Beate","24"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","9","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Glomski, Christopher C","19"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","19","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Lewis, Jennifer V.","23"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","12","6","1","1","0","0","0","0","0","0","0","0","0","0","0","1","Markovic, Alexander","21"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","20","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Solheim, Jennifer Marie P","24"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","23","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Superfine, Benjamin M","24"
"HON","121","Hon Core Ind & Soc / Creat Art","2310","Honors College","21","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Zarnitsyn, Aleksei","25"
"HON","122","Hon Core Ind & Soc / World Cul","2310","Honors College","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Kozlowska, Anna","24"
"HON","123","Hon Core Indiv & Soc / US Soc","2310","Honors College","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Kling, William C","24"
"HON","123","Hon Core Indiv & Soc / US Soc","2310","Honors College","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rupert, Jennifer","20"
"HON","124","Hon Core Past / Creat Arts","2310","Honors College","20","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Berger, Jessica Nicole","24"
"HON","125","Hon Core Past / World Cultures","2310","Honors College","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Roosevelt, Anna C","11"
"HON","127","Hon Core Creat Art / World Cul","2310","Honors College","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Giampaoli, Michelangelo","24"
"HON","127","Hon Core Creat Art / World Cul","2310","Honors College","22","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Gore, Jeffrey S","24"
"HON","128","Hon Core Creat Arts / US Soc","2310","Honors College","17","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","Christian, Margena A","23"
"HON","134","Hon Core Nat World/US Society","2310","Honors College","17","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Gonzalez-Meler, Miquel Angel","24"
"HON","134","Hon Core Nat World/US Society","2310","Honors College","7","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Theis, Thomas L","13"
"HON","140","Honors Core Indiv & Society","2310","Honors College","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Kobotis, Evangelos","23"
"HON","200","Honors Lectures","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","Blechschmidt, Sally M","12"
"HON","200","Honors Lectures","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","Burns-Howard, Kathryn","13"
"HON","200","Honors Lectures","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Genrich, Katey L","18"
"HON","200","Honors Lectures","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","0","Ishikata, Brandon","15"
"HON","200","Honors Lectures","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","Salgado, Hedy","12"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Alton, Jeffrey R","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Amiri, Leila","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","Bell, Lauren","27"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","Beverly, Phillip Adrian","17"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","Buchanan, Susan Nathalie","14"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","Bui, Long B","17"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","2","Chan, Juliana","30"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","Cohen, Rhonna L","20"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","Engel, Kathryn L","16"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Fletcher, Christopher David","19"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","16","2","0","Grunow, Scott Alexander","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Hayek, Philip Wesley","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","1","Kindelsperger, Abigail Parker","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","Leick, Karen","16"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Maginot, Kelly Birch","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","Ozdogru, Unsal","16"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","Pegues, Eric","17"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","Rodriguez, David Diego","15"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Swirsky, Eric S","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Tse, Crystal","18"
"HON","201","Honors Seminar","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","Warpeha, Katherine Mary","20"
"HON","202","Honors Tutoring","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","Burns-Howard, Kathryn","15"
"HON","222","Honors Activity","2310","Honors College","0","0","0","0","0","0","0","543","0","0","0","0","0","820","18","13","McCloud, Stacie L","1394"
"HON","225","Honors Research","2310","Honors College","0","0","0","0","0","0","0","13","0","0","0","0","0","33","0","2","McCloud, Stacie L","48"
"HON","301","Foundations for the Future","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Amiri, Leila","10"
"HON","301","Foundations for the Future","2310","Honors College","0","0","0","0","0","0","0","0","0","0","10","0","0","73","2","0","Gomez, Kayeromi Donoukounmahou","85"
"HON","301","Foundations for the Future","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","66","11","4","Karaskiewicz, Rachel Holtz","81"
"HON","301","Foundations for the Future","2310","Honors College","0","0","0","0","0","0","0","0","2","0","0","0","0","60","1","1","Slager, Michael A","64"
"HON","322","Honors Capstone","2310","Honors College","0","0","0","0","0","0","0","158","0","0","0","0","0","251","0","6","McCloud, Stacie L","415"
