"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AH","208","Topics Modern Arch, Art&Design","2910","Art History","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rousseva, Nicoletta Georgieva","12"
"BHIS","405","Med Sci & Humn Pathophysiology","2318","Biomed & Health Info Sciences","6","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Wencel-Drake, June D","17"
"BHIS","437","Health Care Data","2318","Biomed & Health Info Sciences","18","9","2","0","2","0","0","0","0","0","0","0","0","0","0","2","Orzechowski, John Stanley","33"
"BHIS","510","Health Care Info Systems","2318","Biomed & Health Info Sciences","18","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Isola, Miriam L.","29"
"BHIS","595","BHIS Seminar","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Abraham, Joanna","19"
"BIOS","222","Cell Biology","2453","Biological Sciences","8","9","3","6","2","0","0","0","0","0","0","0","0","0","0","1","Martin, Ashley Anne","29"
"BIOS","350","General Microbiology","2453","Biological Sciences","2","7","17","4","1","0","0","0","0","0","0","0","0","0","0","2","Gibbons, Sandra Helen","33"
"BVIS","535","Visual Learning & Thinking II","2318","Biomed & Health Info Sciences","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Daugherty, John M","16"
"CHEM","125","General Chemistry Lab II","2458","Chemistry","15","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","Grad Asst","21"
"CLJ","101","Intro to Crim, Law, & Justice","2909","Criminology, Law, and Justice","12","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Matoesian, Greg","24"
"DOSI","341","Oral/Systemc Issue in Dent I","2758","Dentistry Administration","52","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zwiercan, Christopher P","103"
"ED","431","Improving Learning Environmts","2208","Education","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rao, Arthi Bhimsen","14"
"ENGL","241","Eng Lit I","2492","English","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","10"
"EPSY","446","Character Early Adolescence","2621","Educational Psychology","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","17"
"HIST","101","Western Civ Since 1648","2316","History","15","7","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Abbott, John","24"
"HPA","432","Public Health Advocacy","2399","Health Policy & Administration","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","Kling, William C","11"
"HPA","465","Hlth Info & Dec Supp Syst","2399","Health Policy & Administration","19","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","Mensah, Edward K","23"
"IDS","594","Healthcare Informatics","2672","Information/Decision Sciences","19","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Boyd, Andrew","30"
"KN","345","Exercise Assmt & Programming","2960","Kinesiology and Nutrition","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Adams, Michelle Marie","12"
"MATH","180","Calculus I","2610","Math, Statistics, & Comp Scnc","6","12","5","3","0","0","0","0","0","0","0","0","0","0","0","0","Bode, Martina","26"
"MATH","210","Calculus III","2610","Math, Statistics, & Comp Scnc","6","5","4","0","0","0","0","0","1","0","0","0","0","0","0","1","Grad Asst","17"
"MHPE","598","Thesis Research","2857","Medical Education","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","Harris, Ilene B","12"
"MKTG","560","Marketing Management","2846","Managerial Studies","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Coco, Louis","12"
"MKTG","594","Marketing Strategy","2846","Managerial Studies","0","0","0","0","0","0","0","0","0","0","51","0","0","0","0","0","Malter, Alan Joseph","51"
"NUEL","594","Special Topics: Advanced","2591","Nursing Administration","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yingling, Charles","14"
"NURS","342","Caring in Professional Nursing","2591","Nursing Administration","28","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","37"
"NURS","516","EBP 2","2462","Biobehavioral Nursing Science","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Vonderheid, Susan Catherine","25"
"NURS","517","Leadership & Policy","2842","Human Development Nursing Sci","133","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DeCocker, Karen Ann","145"
"ACTG","470","Ethical Environment Business","2656","Accounting","6","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Scully, George","11"
"ANTH","101","World Cultures","2841","Anthropology","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Doane, Molly","14"
"ASP","032","Engl for Academic Purposes II","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","0","Duke, Trischa Beth","13"
"BHIS","529","Business Intel & Analytics","2318","Biomed & Health Info Sciences","22","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Isola, Miriam L.","27"
"BIOS","221","Genetics Lab","2453","Biological Sciences","6","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Chong, Jer Pin","13"
"BMS","609","Medical Scholars Program","2761","Administration & Gen Exp","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","Thomas, Dorian E","34"
"CHEM","123","General Chemistry Lab I","2458","Chemistry","24","10","4","0","1","0","0","0","1","0","0","0","0","0","0","2","Grad Asst","42"
"CHEM","222","Analytical Chemistry","2458","Chemistry","3","7","17","3","0","0","0","0","2","0","0","0","0","0","0","5","Rosenhouse-Dantsker, Avia","37"
"CI","504","Secondary Literacy","2783","Curriculum and Instruction","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Phillips, Nathan C","20"
"CI","529","Sec Sci Ed in Urban Settings","2783","Curriculum and Instruction","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Nishimura, Marlynne K","22"
"CLER","605","Medicine","2586","Medicine","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","Khan, Asra R","46"
"CLJ","240","Criminal Justice Organizations","2909","Criminology, Law, and Justice","9","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","14"
"CME","203","Strength Of Materials","2737","Civil, Matls & Env Engineering","7","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Karpov, Eduard","15"
"COMM","101","Intro to Communication","2493","Communication","4","3","2","0","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","11"
"DAOB","302","Applied Oral & Behav Sci","2758","Dentistry Administration","13","25","0","0","0","0","0","14","0","0","0","0","0","0","0","0","Semprum-Clavier, Adriana","52"
"DAOB","341","Applied Oral and Behav Sci IX","2758","Dentistry Administration","64","20","0","0","0","0","0","19","0","0","0","0","0","0","0","0","Spector, Michael","103"
"DBCS","321","Biomed and Clin Sciences VII","2758","Dentistry Administration","43","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Miloro, Mary Beth","69"
"ECE","225","Circuit Analysis","2949","Electrical & Computer Engr","7","5","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Yang, Zheng","17"
"ECON","120","Principles of Microeconomics","2525","Economics","10","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","15"
"FIN","594","Applied Portfolio","2691","Finance","7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wightkin, John","17"
"HN","110","Foods","2960","Kinesiology and Nutrition","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lyles, Renea Michelle","14"
"IDS","270","Business Statistics I","2672","Information/Decision Sciences","2","6","4","11","4","0","0","0","2","0","0","0","0","0","0","0","Sparks, John","29"
"IDS","532","Intro to Operations Mgmt","2672","Information/Decision Sciences","47","5","0","0","0","0","0","0","1","0","0","0","0","0","0","2","Liotine, Matthew","55"
"IDS","594","Analytics Apps Using R","2672","Information/Decision Sciences","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","1","Mourad, Houssam","14"
"MATH","125","Elementary Linear Algebra","2610","Math, Statistics, & Comp Scnc","5","5","2","0","0","0","0","0","0","0","1","0","0","0","0","0","Takloo-Bighash, Ramin","13"
"MATH","310","Applied Linear Algebra","2610","Math, Statistics, & Comp Scnc","17","8","1","1","0","0","0","0","0","0","0","0","0","0","0","2","Kobotis, Evangelos","29"
"MGMT","340","Intro to Organizations","2846","Managerial Studies","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Miller, Michael T.","11"
"NUPR","572","Practicum: Hlth Care of Women","2842","Human Development Nursing Sci","19","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Klima, Carrie","21"
"ASP","035","Live, Learn, Grow: Learn Track","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","18","6","0","Mielcarek, Stephanie M","24"
"BIOS","101","Populations & Communities","2453","Biological Sciences","22","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Molumby, Alan J","28"
"BVIS","518","Web Development","2318","Biomed & Health Info Sciences","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bond, Samantha G","20"
"CI","464","Bilingualism and Literacy","2783","Curriculum and Instruction","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","15"
"CLER","616","Obstetrics and Gynecology","2264","Obstetrics & Gynecology","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","Lee, Thomas Gregory","11"
"CLER","619","Surgery","2848","Surgery","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","Anderson, Richard C","11"
"CLER","633","Pediatrics","2339","Pediatrics","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","Thomas, Dorian E","10"
"CS","109","Prog for Engineers w/MatLab","2699","Computer Science","8","3","1","1","4","0","0","0","0","0","0","0","0","0","0","3","Bell, John T","20"
"DBCS","322","Biomed and Clin Sciences VIII","2758","Dentistry Administration","32","31","6","0","0","0","0","0","0","0","0","0","0","0","0","0","Miloro, Mary Beth","69"
"DBCS","323","Biomed and Clin Sciences IX","2758","Dentistry Administration","51","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Miloro, Mary Beth","69"
"ECON","121","Principles of Macroeconomics","2525","Economics","10","2","3","0","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","17"
"ECON","520","Microecon for Business","2525","Economics","16","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Cepon, Margie","20"
"ENGL","305","Studies in Fiction","2492","English","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Schaafsma, David W","12"
"FIN","473","Intro to Risk Management","2672","Information/Decision Sciences","1","4","2","2","2","0","0","0","0","0","0","0","0","0","0","1","Lee, Yew-Sing Thomas","12"
"FIN","594","Real Estate","2691","Finance","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bothen, Thomas C.","17"
"HIM","337","Analysis of Healthcare Data","2318","Biomed & Health Info Sciences","7","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Hitchcock, Lois Marie","18"
"IPHS","650","Field Experience In PH","2592","School of Public Health","0","0","0","0","0","0","0","7","0","0","0","0","0","4","0","0","Kling, William C","11"
"LALS","101","Intro Latin American Studies","2988","Latin American &Latino Studies","3","4","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Palka, Joel W","10"
"MBT","597","Master's Project Research","2614","Biomedical Science","0","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","Kalyanasundaram, Ramaswamy","10"
"MGMT","594","Spec Topic in Mgmt: Leadership","2846","Managerial Studies","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lloyd, Anna K","38"
"MKTG","500","Introduction to Marketing","2846","Managerial Studies","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lichtenstein, Dale","53"
"NUPR","595","Clinical Option: PHN","2662","Pop Health Nursing Science","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bergren, Martha Dewey","10"
"PHYS","106","Intro Physics I - Lab","2354","Physics","8","13","6","0","1","0","0","0","0","0","0","0","0","0","0","4","Grad Asst","32"
"PHYS","108","Intro Physics II-Lab","2354","Physics","21","5","4","2","1","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","33"
"PSCH","324","Cultural Psychology","2885","Psychology","7","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Motyl, Matthew Steven","13"
"PSCH","340","Psychological Testing","2885","Psychology","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Kim-Cohen, Julia Yun Soo","10"
"PT","616","Biophysics","2827","Physical Therapy","19","36","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Keil, Aaron","57"
"PT","624","Therapeutic Applications","2827","Physical Therapy","45","10","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Corcoran, Gretchen","57"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","14","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Jastrzebski, Ronald J","18"
"BHIS","460","Intro to Hlth Informatics","2318","Biomed & Health Info Sciences","8","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Patena, Karen R","13"
"BHIS","522","Mobile Health Informatics","2318","Biomed & Health Info Sciences","27","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Kitsiou, Spyridon","30"
"BIOS","230","Ecology and Evolution","2453","Biological Sciences","9","4","5","2","0","0","0","0","0","0","0","0","0","0","0","3","Ashley, Mary Virginia","23"
"BIOS","240","Animal Physiology","2453","Biological Sciences","6","10","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Molumby, Alan J","21"
"CELE","604","Emergency  Medicine","2498","Emergency Medicine","0","0","0","0","0","3","0","0","0","0","5","4","1","0","0","0","Gehm, Lisa","13"
"CI","540","Linguistics for Teachers","2783","Curriculum and Instruction","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hallett, Jill Maureen","14"
